Wizard Spells Revised   10/10/94
	1st Level Spells	1st level

AQAA	Life Water
AQAA	Maelstrom
DLR1	Major Cloak
FRA	Master Undead
	Meteor Swarm
	Monster Summoning 8
	Mordenkainen╒s Disjunction
FR16	Mycontil╒s Last Resort
UMA	Phezult╒s Sleep of Ages
FR16	Power Word: Banishment
	Power Word: Kill
	Prismatic Sphere
FR6	Restoration
FRA	Restore Mind
AQAA	Sand Form
	Shape Change
FRA	Spellstrike
FRA	Spell Invulnerability
TOM	Stabilize (WM)
	Succor
OA	Summon Spirit
Drag200 Tempestcone
	Temporal Reinstatement
	Temporal Stasis
FOR3	Tidal Wave
DLA	Timereaver
	Time Stop
FOR4     	Transforming Tune
OA	Tsunami
DSDK	Vampiric Youthfulness
FRA	Virus Charm
TOM	Wail of the Banshee
	Weird
TOM	Wildfire (WM)
TOM	Wildwind (WM)
AQAA	Windtomb
	Wish
FRA	Worldwalk
 
	9th Level High Magic

EOE	Celestial Army
EOE	Gift of Life
EOE	Soul Freedom
EOE	Wrath Of The Just                       

	10th Level Spells (Sorcerer-Kings)      

DSDK	Abrasion
DSDK	Advanced Domination
DSDK	Defiler Metamorphosis
DSDK	Defiling Regeneration
DSDK	Defiling Stasis
DSDK	Dome of Invulnerability
DSDK	Enchanted Armaments
DSDK	Enslave Elemental
DSDK	Immediate Animation
DSDK	Just Sovereign
DSDK	Life Extension
DSDK	Magical Minions
DSDK	Magical Plague
DSDK	Masquerade
DSDK	Mass Fanaticism
DSDK	Mountain Fortress
DSDK	Pact
DSDK	Preserver Metamorphosis
DSDK	Prolific Forestation
DSDK	Prolific Vegetation
DSDK	Pure Breed
DSDK	Raise Nation
DSDK	Recruitment
DSDK	Reverse Loyalties
DSDK	Rift
DSDK	Rolling Road
DSDK	Undead╒s Lineage
DSDK	Wall of Ash
                   	


n= Damage spell
n= Useful spell
n= Combat useful spell
n= Useful damage spell
n= Combat useful spell w/ potential damage
n= Useful spell w/ potential damage
FRA= Forgotten Realms Adventures
FRCS1= Forgotten Realms Campaign Set 
FOR2= Drow of the Underdark
FOR3= Pirates of the Fallen Stars
FR6= Dreams of the Red Wizards
FR16= The Shining South
VGN= Volo╒s Guide to the North
CSBS= City of Splendors Boxed Set
TOM= Tome of Magic
TME= The Magic Encyclopedia
WHB= Wizard╒s Handbook
EHB= Elves Handbook
EOE= Elves of Evermeet
SPJR= Spelljammer Boxed Set
SJR1= Spelljammer: Lost Ships
PSCS= PlaneScape Campaign Set (Box)
DSCS= DarkSun Campaign Set (Boxed)
DSDK= DarkSun ╥Dragon Kings╙
AQAA= Al Qadim Arabian Adventures
DLA= DragonLance Adventures
GHA= Greyhawk Adventures
DLR1= Otherlands
KTBS= Kara-Tur Boxed Set
WGR2= Treasures of Greyhawk
UA= Unearthed Arcana
OA= Oriental Adventures
L&L= Legends and Lore
UMA= Undermountain Adventures
SCZ= Scott Carson Ziegler, Researcher
Drag###= ╥Dragon Mag.╙                                                                                            #s-164,167,185,188,197,200,203,
204,205, 210
Drag(w/ no #)= ╥Dragon copies╙
Dung###= ╥Dungeon Mag.╙
#╒s- 15,32
(WM)= Wild Magic
(BM)=  Blood Magic
 

	BDTDBTBDBTHAT╒S ALL FOLKS!
                                               6

I- SCZ     Scott Carson Ziegler
Hey You!
Can╒t you read?
    Please, send your spells to register this great spellware that took years and millenia to make!  I mean, Elminster, Vangerdahast, Khelben, Mordenkainen and the Circle of Eight, not to mention Raistlain, Dalamar and the rest of the tower of the Arcane were easy to get together in the same room to compile this many spells.  Just email the spells, source (as in FRA, DLA, FOR4, FR16, etc. or the name of the product from which the spell came.) to screename Shadowfaex.  Doing this will send the file directly to you upon submission (instead of waiting for public access which can take days.) it will also remove this LARGE message!  Well, thanks for downloading this file.  If you don╒t have any spells that aren╒t already in the list (and that can be hard!  My suggestion is to find if you or any of your friends have a researched spells.  Send the spell and your full name and initials (all three) and all of yoiur spells with credited to you in the end documentation.  I would also suggest ewriting to TGPortal.  TGPortal is short for The Gaping Portal, a bimonthly magazine that has multiple sections for the complete gamer. Email for details!  My files and new spells will appear there!  Check it Out!

From the author-



         Ñ-Scott Carson Ziegler
	a.s.a.-Shadowf╛x 	               		Cantanthalus 			Greymere!

